Timestamp,session_id,participant_id,metric_type,task_type,value,unit
2025-10-24 00:48:24.696616,S001,P001,Throughput,Sorting Task,0,box / s
2025-10-24 00:48:24.699947,S001,P001,Actual Error Rate,Sorting Task,0,%
2025-10-24 00:48:24.700948,S001,P001,User Accuracy,Sorting Task,100,%
2025-10-24 00:48:24.701823,S001,P001,Corrections,Sorting Task,0,box
2025-10-24 00:48:25.696045,S001,P001,Throughput,Sorting Task,0,box / s
2025-10-24 00:48:25.697651,S001,P001,Actual Error Rate,Sorting Task,0,%
2025-10-24 00:48:25.698595,S001,P001,User Accuracy,Sorting Task,100,%
2025-10-24 00:48:25.699447,S001,P001,Corrections,Sorting Task,0,box
2025-10-24 00:48:26.696569,S001,P001,Throughput,Sorting Task,0,box / s
2025-10-24 00:48:26.698166,S001,P001,Actual Error Rate,Sorting Task,0,%
2025-10-24 00:48:26.699200,S001,P001,User Accuracy,Sorting Task,100,%
2025-10-24 00:48:26.700208,S001,P001,Corrections,Sorting Task,0,box
2025-10-24 00:48:27.706388,S001,P001,Throughput,Sorting Task,0,box / s
2025-10-24 00:48:27.707882,S001,P001,Actual Error Rate,Sorting Task,0,%
2025-10-24 00:48:27.708810,S001,P001,User Accuracy,Sorting Task,100,%
2025-10-24 00:48:27.709689,S001,P001,Corrections,Sorting Task,0,box
2025-10-24 00:48:28.696119,S001,P001,Throughput,Sorting Task,0,box / s
2025-10-24 00:48:28.697651,S001,P001,Actual Error Rate,Sorting Task,0,%
2025-10-24 00:48:28.698572,S001,P001,User Accuracy,Sorting Task,100,%
2025-10-24 00:48:28.699476,S001,P001,Corrections,Sorting Task,0,box
2025-10-24 00:48:29.700284,S001,P001,Throughput,Sorting Task,0,box / s
2025-10-24 00:48:29.701811,S001,P001,Actual Error Rate,Sorting Task,0,%
2025-10-24 00:48:29.702726,S001,P001,User Accuracy,Sorting Task,100,%
2025-10-24 00:48:29.703568,S001,P001,Corrections,Sorting Task,0,box
